code,short_desc,long_desc,is_header
E093552,"Drug/chem diab with stable prolif diabetic rtnop, left eye","Drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy, left eye",0
E093553,"Drug/chem diabetes with stable prolif diabetic rtnop, bi","Drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy, bilateral",0
E093559,"Drug/chem diabetes with stable prolif diabetic rtnop, unsp","Drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye",0
E093591,"Drug/chem diab with prolif diab rtnop w/o mclr edema, r eye","Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye",0
E093592,"Drug/chem diab with prolif diab rtnop w/o mclr edema, l eye","Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye",0
E093593,"Drug/chem diab with prolif diab rtnop without mclr edema, bi","Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral",0
E093599,"Drug/chem diab with prolif diab rtnop w/o mclr edema, unsp","Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye",0
E0936,Drug/chem diabetes mellitus w diabetic cataract,Drug or chemical induced diabetes mellitus with diabetic cataract,0
E0937X1,"Drug/chem diab w diab mclr edma, resolved fol trtmt, r eye","Drug or chemical induced diabetes mellitus with diabetic macular edema, resolved following treatment, right eye",0
E0937X2,"Drug/chem diab w diab mclr edma, resolved fol trtmt, l eye","Drug or chemical induced diabetes mellitus with diabetic macular edema, resolved following treatment, left eye",0
E0937X3,"Drug/chem diab with diab mclr edema, resolved fol trtmt, bi","Drug or chemical induced diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral",0
E0937X9,"Drug/chem diab with diab mclr edma, resolved fol trtmt, unsp","Drug or chemical induced diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye",0
E0939,Drug/chem diabetes w oth diabetic ophthalmic complication,Drug or chemical induced diabetes mellitus with other diabetic ophthalmic complication,0
E0940,"Drug/chem diabetes w neuro comp w diabetic neuropathy, unsp","Drug or chemical induced diabetes mellitus with neurological complications with diabetic neuropathy, unspecified",0
E0941,Drug/chem diabetes w neuro comp w diabetic mononeuropathy,Drug or chemical induced diabetes mellitus with neurological complications with diabetic mononeuropathy,0
E0942,Drug/chem diabetes w neurological comp w diabetic polyneurop,Drug or chemical induced diabetes mellitus with neurological complications with diabetic polyneuropathy,0
E0943,Drug/chem diab w neuro comp w diab autonm (poly)neuropathy,Drug or chemical induced diabetes mellitus with neurological complications with diabetic autonomic (poly)neuropathy,0
E0944,Drug/chem diabetes w neurological comp w diabetic amyotrophy,Drug or chemical induced diabetes mellitus with neurological complications with diabetic amyotrophy,0
E0949,Drug/chem diabetes w neuro comp w oth diabetic neuro comp,Drug or chemical induced diabetes mellitus with neurological complications with other diabetic neurological complication,0
E0951,Drug/chem diabetes w diabetic prph angiopath w/o gangrene,Drug or chemical induced diabetes mellitus with diabetic peripheral angiopathy without gangrene,0
E0952,Drug/chem diabetes w diabetic prph angiopath w gangrene,Drug or chemical induced diabetes mellitus with diabetic peripheral angiopathy with gangrene,0
E0959,Drug/chem diabetes mellitus w oth circulatory complications,Drug or chemical induced diabetes mellitus with other circulatory complications,0
E09610,Drug/chem diabetes w diabetic neuropathic arthropathy,Drug or chemical induced diabetes mellitus with diabetic neuropathic arthropathy,0
E09618,Drug/chem diabetes mellitus w oth diabetic arthropathy,Drug or chemical induced diabetes mellitus with other diabetic arthropathy,0
E09620,Drug/chem diabetes mellitus w diabetic dermatitis,Drug or chemical induced diabetes mellitus with diabetic dermatitis,0
E09621,Drug or chemical induced diabetes mellitus with foot ulcer,Drug or chemical induced diabetes mellitus with foot ulcer,0
E09622,Drug or chemical induced diabetes mellitus w oth skin ulcer,Drug or chemical induced diabetes mellitus with other skin ulcer,0
E09628,Drug/chem diabetes mellitus w oth skin complications,Drug or chemical induced diabetes mellitus with other skin complications,0
E09630,Drug/chem diabetes mellitus w periodontal disease,Drug or chemical induced diabetes mellitus with periodontal disease,0
E09638,Drug/chem diabetes mellitus w oth oral complications,Drug or chemical induced diabetes mellitus with other oral complications,0
E09641,Drug/chem diabetes mellitus w hypoglycemia w coma,Drug or chemical induced diabetes mellitus with hypoglycemia with coma,0
E09649,Drug/chem diabetes mellitus w hypoglycemia w/o coma,Drug or chemical induced diabetes mellitus with hypoglycemia without coma,0
E0965,Drug or chemical induced diabetes mellitus w hyperglycemia,Drug or chemical induced diabetes mellitus with hyperglycemia,0
E0969,Drug/chem diabetes mellitus w oth complication,Drug or chemical induced diabetes mellitus with other specified complication,0
E098,Drug/chem diabetes mellitus w unsp complications,Drug or chemical induced diabetes mellitus with unspecified complications,0
E099,Drug or chemical induced diabetes mellitus w/o complications,Drug or chemical induced diabetes mellitus without complications,0
E1010,Type 1 diabetes mellitus with ketoacidosis without coma,Type 1 diabetes mellitus with ketoacidosis without coma,0
E1011,Type 1 diabetes mellitus with ketoacidosis with coma,Type 1 diabetes mellitus with ketoacidosis with coma,0
E1021,Type 1 diabetes mellitus with diabetic nephropathy,Type 1 diabetes mellitus with diabetic nephropathy,0
E1022,Type 1 diabetes mellitus w diabetic chronic kidney disease,Type 1 diabetes mellitus with diabetic chronic kidney disease,0
E1029,Type 1 diabetes mellitus w oth diabetic kidney complication,Type 1 diabetes mellitus with other diabetic kidney complication,0
E10311,Type 1 diabetes w unsp diabetic retinopathy w macular edema,Type 1 diabetes mellitus with unspecified diabetic retinopathy with macular edema,0
E10319,Type 1 diabetes w unsp diabetic rtnop w/o macular edema,Type 1 diabetes mellitus with unspecified diabetic retinopathy without macular edema,0
E103211,"Type 1 diab with mild nonp rtnop with macular edema, r eye","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye",0
E103212,"Type 1 diab with mild nonp rtnop with macular edema, l eye","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye",0
E103213,"Type 1 diabetes with mild nonp rtnop with macular edema, bi","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral",0
E103219,"Type 1 diab with mild nonp rtnop with macular edema, unsp","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",0
E103291,"Type 1 diab with mild nonp rtnop without mclr edema, r eye","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye",0
E103292,"Type 1 diab with mild nonp rtnop without mclr edema, l eye","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye",0
E103293,"Type 1 diab with mild nonp rtnop without macular edema, bi","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral",0
E103299,"Type 1 diab with mild nonp rtnop without macular edema, unsp","Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye",0
E103311,"Type 1 diab with mod nonp rtnop with macular edema, r eye","Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye",0
E103312,"Type 1 diab with mod nonp rtnop with macular edema, l eye","Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye",0
E103313,"Type 1 diab with moderate nonp rtnop with macular edema, bi","Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",0
