code,description,category
0301U,Iadna bartonella ddpcr,CLINICAL LABORATORY SERVICES
0302U,Iadna brtnla ddpcr flwg liq,CLINICAL LABORATORY SERVICES
0303U,Hem rbc ads whl bld hypoxic,CLINICAL LABORATORY SERVICES
0304U,Hem rbc ads whl bld normoxic,CLINICAL LABORATORY SERVICES
0305U,Hem rbc fnclty&dfrm shr strs,CLINICAL LABORATORY SERVICES
0306U,Onc mrd nxt-gnrj alys 1st,CLINICAL LABORATORY SERVICES
0307U,Onc mrd nxt-gnrj alys sbsq,CLINICAL LABORATORY SERVICES
0308U,Crd cad alys 3 prtn 3 param,CLINICAL LABORATORY SERVICES
0309U,Crd cv ds aly 4 prtn plm alg,CLINICAL LABORATORY SERVICES
0310U,Ped vsclts kd alys 3 bmrks,CLINICAL LABORATORY SERVICES
0311U,Nfct ds bct quan antmcrb sc,CLINICAL LABORATORY SERVICES
0312U,Ai ds sle alys 8 igg autoant,CLINICAL LABORATORY SERVICES
0313U,Onc pncrs dna&mrna seq 74,CLINICAL LABORATORY SERVICES
0314U,Onc cutan mlnma mrna 35 gene,CLINICAL LABORATORY SERVICES
0315U,Onc cutan sq cll ca mrna 40,CLINICAL LABORATORY SERVICES
0316U,B brgdrferi lyme ds ospa evl,CLINICAL LABORATORY SERVICES
0317U,Onc lung ca 4-prb fish assay,CLINICAL LABORATORY SERVICES
0318U,Ped whl gen mthyltn alys 50+,CLINICAL LABORATORY SERVICES
0319U,Neph rna pretrnspl perph bld,CLINICAL LABORATORY SERVICES
0320U,Neph rna psttrnspl perph bld,CLINICAL LABORATORY SERVICES
0321U,Iadna gu pthgn 20bct&fng org,CLINICAL LABORATORY SERVICES
0322U,Neuro asd meas 14 acyl carn,CLINICAL LABORATORY SERVICES
0323U,Iadna cns pthgn next gen seq,CLINICAL LABORATORY SERVICES
0326U,Trgt gen seq alys pnl 83+,CLINICAL LABORATORY SERVICES
0327U,Ftl aneuploidy trsmy dna seq,CLINICAL LABORATORY SERVICES
0328U,Drug assay 120+ rx&metablt,CLINICAL LABORATORY SERVICES
0329U,Onc neo xome&trns seq alys,CLINICAL LABORATORY SERVICES
0330U,Iadna vag pthgn panel 27 org,CLINICAL LABORATORY SERVICES
0331U,Onc hl neo opt gen mapping,CLINICAL LABORATORY SERVICES
0332U,Onc pan tum gen prflg 8 dna,CLINICAL LABORATORY SERVICES
0333U,Onc lvr surveilanc hcc cfdna,CLINICAL LABORATORY SERVICES
0334U,Onc sld orgn tgsa dna 84/+,CLINICAL LABORATORY SERVICES
0335U,Rare ds whl gen seq feta,CLINICAL LABORATORY SERVICES
0336U,Rare ds whl gen seq bld/slv,CLINICAL LABORATORY SERVICES
0337U,Onc plsm cell do&myeloma id,CLINICAL LABORATORY SERVICES
0338U,Onc sld tum crcg tum cl slct,CLINICAL LABORATORY SERVICES
0339U,Onc prst8 mrna hoxc6 & dlx1,CLINICAL LABORATORY SERVICES
0340U,Onc pan ca alys mrd plasma,CLINICAL LABORATORY SERVICES
0341U,Ftl aneup dna seq cmpr alys,CLINICAL LABORATORY SERVICES
0342U,Onc pncrtc ca mult ia eclia,CLINICAL LABORATORY SERVICES
0343U,Onc prst8 xom aly 442 sncrna,CLINICAL LABORATORY SERVICES
0344U,Hep nafld semiq evl 28 lipid,CLINICAL LABORATORY SERVICES
0345U,Psyc genom alys pnl 15 gen,CLINICAL LABORATORY SERVICES
0347U,Rx metab/pcx dna 16 gen alys,CLINICAL LABORATORY SERVICES
0348U,Rx metab/pcx dna 25 gen alys,CLINICAL LABORATORY SERVICES
0349U,Rx metab/pcx dna 27gen rx ia,CLINICAL LABORATORY SERVICES
0350U,Rx metab/pcx dna 27 gen alys,CLINICAL LABORATORY SERVICES
0351U,Nfct ds bct/viral trail ip10,CLINICAL LABORATORY SERVICES
0355U,Apol1 risk variants,CLINICAL LABORATORY SERVICES
0356U,Onc orop/anal 17 dna ddpcr,CLINICAL LABORATORY SERVICES
0358U,Neuro alys ?-amyl 1-42&1-40,CLINICAL LABORATORY SERVICES
0359U,Onc prst8 ca alys all psa,CLINICAL LABORATORY SERVICES
0360U,Onc lung elisa 7 autoant alg,CLINICAL LABORATORY SERVICES
0362U,Onc pap thyr ca rna 82&10,CLINICAL LABORATORY SERVICES
0363U,Onc urthl mrna 5 gen alg,CLINICAL LABORATORY SERVICES
0364U,Onc hl neo gen seq alys alg,CLINICAL LABORATORY SERVICES
0365U,Onc bldr 10 ur hrbr urthl ca,CLINICAL LABORATORY SERVICES
0366U,Onc bldr 10 prb recr bldr ca,CLINICAL LABORATORY SERVICES
0367U,Onc bldr 10 flwg trurl rescj,CLINICAL LABORATORY SERVICES
0368U,Onc clrct ca mut&mthyltn mrk,CLINICAL LABORATORY SERVICES
0371U,Iadna gu pthgn semiq dna16&1,CLINICAL LABORATORY SERVICES
0372U,Nfct ds gu pthgn arg detcj,CLINICAL LABORATORY SERVICES
0375U,Onc ovrn bchm asy 7 prtn alg,CLINICAL LABORATORY SERVICES
0376U,Onc prst8 ca img alys 128,CLINICAL LABORATORY SERVICES
0377U,Cv ds quan advsrm/plsm lprtn,CLINICAL LABORATORY SERVICES
0378U,Rfc1 repeat xpnsj vrnt alys,CLINICAL LABORATORY SERVICES
0379U,Tgsap sl or neo dna523&rna55,CLINICAL LABORATORY SERVICES
0381U,Maple syrup ur ds mntr quan,CLINICAL LABORATORY SERVICES
0382U,Hyprphenylalninmia mntr quan,CLINICAL LABORATORY SERVICES
0383U,Tyrosinemia typ i mntr quan,CLINICAL LABORATORY SERVICES
0384U,Neph ckd rsk hi stg kdn ds,CLINICAL LABORATORY SERVICES
0385U,Neph ckd alg rsk dbtc kdn ds,CLINICAL LABORATORY SERVICES
0387U,Onc mlnma ambra1&amlo,CLINICAL LABORATORY SERVICES
0388U,Onc nonsm cll lng ca 37 gen,CLINICAL LABORATORY SERVICES
0389U,Ped fbrl kd ifi27&mcemp1 rna,CLINICAL LABORATORY SERVICES
0390U,Ob pe kdr eng&rbp4 ia alg,CLINICAL LABORATORY SERVICES
