code,description,category
0391U,Onc sld tum dna&rna 437 gen,CLINICAL LABORATORY SERVICES
0392U,Rx metab genrx ia 16 genes,CLINICAL LABORATORY SERVICES
0393U,Neu prksn msfl a-syncln prtn,CLINICAL LABORATORY SERVICES
0394U,Pfas 16 pfas compnd lc ms/ms,CLINICAL LABORATORY SERVICES
0395U,Onc lng multiomics plsm alg,CLINICAL LABORATORY SERVICES
0398U,Gi baret esph dna mthyln aly,CLINICAL LABORATORY SERVICES
0399U,Neuro cere folate defncy srm,CLINICAL LABORATORY SERVICES
0400U,Ob xpnd car scr 145 genes,CLINICAL LABORATORY SERVICES
0401U,Crd c hrt ds 9 gen 12 vrnts,CLINICAL LABORATORY SERVICES
0402U,Nfct agt sti mult amp prb tq,CLINICAL LABORATORY SERVICES
0403U,Onc prst8 mrna 18 gen 1st ur,CLINICAL LABORATORY SERVICES
0404U,Onc brst semiq meas thym kn,CLINICAL LABORATORY SERVICES
0405U,Onc pncrtc 59 mthltn blk mrk,CLINICAL LABORATORY SERVICES
0406U,Onc lung flow cytmtry 5 mrk,CLINICAL LABORATORY SERVICES
0407U,Neph dbtc ckd mult eclia alg,CLINICAL LABORATORY SERVICES
0408U,Iaad blk ac wv bsnsr sarscv2,CLINICAL LABORATORY SERVICES
0409U,Onc sld tum dna 80 & rna 36,CLINICAL LABORATORY SERVICES
0410U,Onc pncrtc dna whl gn seq 5-,CLINICAL LABORATORY SERVICES
0411U,Psyc genom alys pnl 15 gen,CLINICAL LABORATORY SERVICES
0412U,Beta amyloid ab42/40 imprcip,CLINICAL LABORATORY SERVICES
0413U,Onc hl neo opt gen mapg dna,CLINICAL LABORATORY SERVICES
0414U,Onc lng aug alg aly whl sld8,CLINICAL LABORATORY SERVICES
0415U,Cv ds acs bld alg 5 yr score,CLINICAL LABORATORY SERVICES
0417U,Rare ds alys 335 nuc genes,CLINICAL LABORATORY SERVICES
0418U,Onc brst aug alg aly whl sl8,CLINICAL LABORATORY SERVICES
0419U,Nrpsyc gen seq vrnt aly 13,CLINICAL LABORATORY SERVICES
0420U,Onc urthl mrna xprsn 6 snp,CLINICAL LABORATORY SERVICES
0421U,Onc clrct scr sgl amp 8 rna,CLINICAL LABORATORY SERVICES
0422U,Onc pan solid tum alys dna,CLINICAL LABORATORY SERVICES
0423U,Psyc genomic alys pnl 26 gen,CLINICAL LABORATORY SERVICES
0424U,Onc prst8 xom alys 53 sncrna,CLINICAL LABORATORY SERVICES
0425U,Genom rpd seq alys ea cmprtr,CLINICAL LABORATORY SERVICES
0426U,Genome ultra-rapid seq alys,CLINICAL LABORATORY SERVICES
0427U,Monocyte dstrbj wdth whl bld,CLINICAL LABORATORY SERVICES
0429U,Hpv orop swab 14 hi-risk typ,CLINICAL LABORATORY SERVICES
0430U,Gi malabs aat calpro pncrtc,CLINICAL LABORATORY SERVICES
0431U,Gly rcptr alpha1 igg srm/csf,CLINICAL LABORATORY SERVICES
0432U,Klhl11 antb sr/csf asy qual,CLINICAL LABORATORY SERVICES
0433U,Onc prst8 5 dna reg mrk pcr,CLINICAL LABORATORY SERVICES
0434U,Rx metab advrs vrnt alys 25,CLINICAL LABORATORY SERVICES
0435U,Onc chemo rx cytox csc 14 rx,CLINICAL LABORATORY SERVICES
0436U,Onc lng plsm alys 388 prtn,CLINICAL LABORATORY SERVICES
0437U,Psyc anxiety do mrna 15 bmrk,CLINICAL LABORATORY SERVICES
0438U,Rx metab advrs vrnt alys 33,CLINICAL LABORATORY SERVICES
0439U,Crd chd dna alys 5 snp 3 dna,CLINICAL LABORATORY SERVICES
0440U,Crd chd dna alys 10 snp 6dna,CLINICAL LABORATORY SERVICES
0441U,Nfct ds bct fngl/viral semiq,CLINICAL LABORATORY SERVICES
0442U,Nfct ds respir nfctj mxa&crp,CLINICAL LABORATORY SERVICES
0443U,Neurflmnt lt chn ultrsens ia,CLINICAL LABORATORY SERVICES
0444U,Onc sld orgn neo tgsap 361,CLINICAL LABORATORY SERVICES
0445U,Abeta42 & ptau181 eclia csf,CLINICAL LABORATORY SERVICES
0446U,Ai ds sle alys 10 cytokine,CLINICAL LABORATORY SERVICES
0447U,Ai ds sle alys 11 cytokine,CLINICAL LABORATORY SERVICES
0449U,Car scr sev inh cond 5 genes,CLINICAL LABORATORY SERVICES
0452U,Onc bldr mthyl penk lte-qmsp,CLINICAL LABORATORY SERVICES
0453U,Onc clrct ca cfdna qpcr asy,CLINICAL LABORATORY SERVICES
0454U,Rare ds id opt genome mapg,CLINICAL LABORATORY SERVICES
0455U,Nfct agt sti mult amp prb ur,CLINICAL LABORATORY SERVICES
0457U,Pfas 9 cmpnd lcms/ms pls/sr,CLINICAL LABORATORY SERVICES
0458U,Onc brst ca s100 a8&a9 elisa,CLINICAL LABORATORY SERVICES
0459U,Abeta42 & ttau eclia csf,CLINICAL LABORATORY SERVICES
0460U,Onc whl bld/bucc rtpcr 24gen,CLINICAL LABORATORY SERVICES
0461U,Onc rxgenom alys rtpcr 24gen,CLINICAL LABORATORY SERVICES
0462U,Melatonin lvl tst slp std7/9,CLINICAL LABORATORY SERVICES
0463U,Onc crvx mrna genxprsn 14bmk,CLINICAL LABORATORY SERVICES
0464U,Onc clrct scr qrtsa dna mrk,CLINICAL LABORATORY SERVICES
0465U,Onc urthl carc dna qmsp 2gen,CLINICAL LABORATORY SERVICES
0466U,Crd cad dna gwas 564856 snp,CLINICAL LABORATORY SERVICES
0467U,Onc bldr dna ngs 60gen&aneup,CLINICAL LABORATORY SERVICES
0468U,Hep nash mir34a5p a2m ykl40,CLINICAL LABORATORY SERVICES
0469U,Rare ds whl gen seq ftl samp,CLINICAL LABORATORY SERVICES
0470U,Onc orop detcj mrd 8 dna hpv,CLINICAL LABORATORY SERVICES
0471U,Onc clrc ca 35 vrn kras&nras,CLINICAL LABORATORY SERVICES
0472U,Ca vi psp&sp1 antb sjogren,CLINICAL LABORATORY SERVICES
0473U,Onc sld tum bld/slv 648 gene,CLINICAL LABORATORY SERVICES
0474U,Hered pan ca gsap 88gene ngs,CLINICAL LABORATORY SERVICES
0475U,Hered prst8 ca gsap 23 genes,CLINICAL LABORATORY SERVICES
0476U,Rx metab psyc 14gen&cyp2d6,CLINICAL LABORATORY SERVICES
0477U,Rx metab psy 14&cyp2d6 gn-rx,CLINICAL LABORATORY SERVICES
0478U,Onc nsclc dna&rna dpcr 9gens,CLINICAL LABORATORY SERVICES
0479U,Tau phosphorylated ptau217,CLINICAL LABORATORY SERVICES
0480U,Nfct ds csf metag ngs alys,CLINICAL LABORATORY SERVICES
0481U,Idh1 idh2&tert promoter ngs,CLINICAL LABORATORY SERVICES
0482U,Ob pe biochem asy sflt1&plgf,CLINICAL LABORATORY SERVICES
0483U,Nfct ds ng gyra s91f pt mut,CLINICAL LABORATORY SERVICES
0484U,Nfct ds mgen 23s rrna pt mut,CLINICAL LABORATORY SERVICES
0485U,Onc sol tum cfdna&rna ngs gm,CLINICAL LABORATORY SERVICES
0486U,Onc pan sol tum ngs cfctdna,CLINICAL LABORATORY SERVICES
0487U,Onc sol tum cfcdna tgsap 84,CLINICAL LABORATORY SERVICES
0488U,Ob fetal ag nipt cfdna alys,CLINICAL LABORATORY SERVICES
0489U,Ob sgnipt cfdna seq alys 1+,CLINICAL LABORATORY SERVICES
0490U,Onc cutan/uveal mlnma cd146,CLINICAL LABORATORY SERVICES
0491U,Onc sol tum ctc slct er prtn,CLINICAL LABORATORY SERVICES
0492U,Onc sol tum ctc slctn pd-l1,CLINICAL LABORATORY SERVICES
0493U,Trnspl med quan dd-cfdna ngs,CLINICAL LABORATORY SERVICES
0494U,Rbc ag ftl rhd gene alys ngs,CLINICAL LABORATORY SERVICES
0495U,Onc prst8 alys crcg plsm prt,CLINICAL LABORATORY SERVICES
0496U,Onc clrct cfdna 8/7 genes,CLINICAL LABORATORY SERVICES
0497U,Onc prst8 mrna rt-pcr 6genes,CLINICAL LABORATORY SERVICES
0498U,Onc clrct ngs mut detc 43gen,CLINICAL LABORATORY SERVICES
0499U,Onc clrct&lng dna ngs 8genes,CLINICAL LABORATORY SERVICES
0500U,Autoinflam ds vexas synd dna,CLINICAL LABORATORY SERVICES
0501U,Onc clrc bld quan meas cfdna,CLINICAL LABORATORY SERVICES
0502U,Hpv e6/e7 mrk hirsk typ crv,CLINICAL LABORATORY SERVICES
0503U,Neuro alz ds ?amyl&tau prtn,CLINICAL LABORATORY SERVICES
0504U,Nfct ds uti id 17 path orgs,CLINICAL LABORATORY SERVICES
0505U,Nfct ds vag infctj id 32orgs,CLINICAL LABORATORY SERVICES
0506U,Gi barretts esophgl cell 89,CLINICAL LABORATORY SERVICES
0507U,Onc ovr dna whole gen w/5hmc,CLINICAL LABORATORY SERVICES
0510U,Onc pncrtc ca alg alys 16gen,CLINICAL LABORATORY SERVICES
0511U,Onc sol tum 3dmicroenvir 36+,CLINICAL LABORATORY SERVICES
0512U,Onc prst8 alys dgtz img msi,CLINICAL LABORATORY SERVICES
0513U,Onc prst8 alg alys msi&hrd,CLINICAL LABORATORY SERVICES
0514U,Gi ibd ia quan deter adl lvl,CLINICAL LABORATORY SERVICES
0515U,Gi ibd ia quan deter ifx lvl,CLINICAL LABORATORY SERVICES
0516U,Rx metab rxgenomic gnotyp 40,CLINICAL LABORATORY SERVICES
0517U,Ther rx mntr 80+ psyactiv rx,CLINICAL LABORATORY SERVICES
0518U,Ther rx mntr 90+ pn&mtl hlth,CLINICAL LABORATORY SERVICES
0519U,Ther rx mntr meds p/d/a 110+,CLINICAL LABORATORY SERVICES
0520U,Ther rx mntr 200+ rx/sbsts,CLINICAL LABORATORY SERVICES
0521U,Rf iga&igm ccp antb sr-a ia,CLINICAL LABORATORY SERVICES
0522U,Ca vi psp&sp1 antb cl semiql,CLINICAL LABORATORY SERVICES
0523U,Onc soltum dna ngs snv 22gen,CLINICAL LABORATORY SERVICES
0524U,Ob pe sflt-1/plgf ia srm/pls,CLINICAL LABORATORY SERVICES
0525U,Onc sphrd cell cul 11-rx pnl,CLINICAL LABORATORY SERVICES
0526U,Nefro rnl trnspl quan cxcl10,CLINICAL LABORATORY SERVICES
0527U,Hsv 1&2 vzv amp prb tq pthgn,CLINICAL LABORATORY SERVICES
0528U,Lrt iad 18bct/8vir&7arg rna,CLINICAL LABORATORY SERVICES
0529U,Hem vte snp f2&f5 gen leiden,CLINICAL LABORATORY SERVICES
0530U,Onc pan-sol tum ctdna 77 gen,CLINICAL LABORATORY SERVICES
0531U,Nfct ds afb&inv fng 673orgs,CLINICAL LABORATORY SERVICES
0532U,Rare ds whlgen&mitochdrl dna,CLINICAL LABORATORY SERVICES
0533U,Rx metab advrs gnotyp 16gens,CLINICAL LABORATORY SERVICES
0534U,Onc prst8 mirna snp 32 vrnt,CLINICAL LABORATORY SERVICES
0535U,Pfas lc-ms/ms plsm/srm quan,CLINICAL LABORATORY SERVICES
0536U,Rbcag ftl rhd pcr alys exon4,CLINICAL LABORATORY SERVICES
0537U,Onc clrct ca cfdna >2500 dmr,CLINICAL LABORATORY SERVICES
0538U,Onc sol tum ngts ffpe 600gen,CLINICAL LABORATORY SERVICES
0539U,Onc sol tumor cfctdna 152gen,CLINICAL LABORATORY SERVICES
0540U,Trnsplj med quan dd-cfdna,CLINICAL LABORATORY SERVICES
0541U,Cv ds hdl rct cec lc-ms/ms 5,CLINICAL LABORATORY SERVICES
0542U,Nefro renal trnspl ur nmr 84,CLINICAL LABORATORY SERVICES
0543U,Onc sol tum ngs dna 517 gens,CLINICAL LABORATORY SERVICES
0545U,Achr antb id imfluor livecll,CLINICAL LABORATORY SERVICES
0546U,Ldns lrp4 antb imflr livecll,CLINICAL LABORATORY SERVICES
0547U,Neurflmnt lt chn cleia plsm,CLINICAL LABORATORY SERVICES
0548U,Gfap cleia plasma,CLINICAL LABORATORY SERVICES
0549U,Onc urthl dna mthyltd rt pcr,CLINICAL LABORATORY SERVICES
0552U,Repr med pga gdo te bx locus,CLINICAL LABORATORY SERVICES
0553U,Repr med pga embry te strux,CLINICAL LABORATORY SERVICES
0554U,Repr med pga 24chrm te bx qc,CLINICAL LABORATORY SERVICES
0555U,Repr med pga embryonic te qc,CLINICAL LABORATORY SERVICES
0556U,Nfct ds p-s dna&rna 12 trgts,CLINICAL LABORATORY SERVICES
0557U,Nfct ds bv dna mrk vag fluid,CLINICAL LABORATORY SERVICES
0558U,Onc clrct elisa bf7 ag serum,CLINICAL LABORATORY SERVICES
0559U,Onc brs quan elisa bf9ag srm,CLINICAL LABORATORY SERVICES
0560U,Onc mrd gsa cfdna baseline,CLINICAL LABORATORY SERVICES
0561U,Onc mrd gsa cfdna subsequent,CLINICAL LABORATORY SERVICES
0562U,Onc sol tum tgsa 33gens snvs,CLINICAL LABORATORY SERVICES
0563U,Nfct ds pthgn-sna 11vir&4bct,CLINICAL LABORATORY SERVICES
0564U,Nfct ds pthgn-sna 10vir&4bct,CLINICAL LABORATORY SERVICES
0565U,Onc hcc ngs detc 6626epigalt,CLINICAL LABORATORY SERVICES
0566U,Onc lng qpcr-bsd alys 13dmrs,CLINICAL LABORATORY SERVICES
0567U,Rare ds whl gen seq srs&lrs,CLINICAL LABORATORY SERVICES
0568U,Neurol dementia bamyl ptau,CLINICAL LABORATORY SERVICES
0569U,Onc sol tum ngs tmm>20000dmr,CLINICAL LABORATORY SERVICES
0570U,Neurol tbi alys gfap&uch-l1,CLINICAL LABORATORY SERVICES
0571U,Onc sol tum dna80&rna10g ngs,CLINICAL LABORATORY SERVICES
0572U,Onc prst8 httl qfish whl bld,CLINICAL LABORATORY SERVICES
0573U,Onc pancreas 3bmrk pclf alg,CLINICAL LABORATORY SERVICES
0574U,Mtb cfp-10 serum/plsm lc-ms,CLINICAL LABORATORY SERVICES
0575U,Trnsplj med lar rtpcr 4genes,CLINICAL LABORATORY SERVICES
0576U,Trnsplj med lar quan ddcfdna,CLINICAL LABORATORY SERVICES
0577U,Onc ovr serum alys 39 gps,CLINICAL LABORATORY SERVICES
0578U,Onc cutan mln rna qpcr 10gen,CLINICAL LABORATORY SERVICES
0579U,Nfro dbtc ckd elisa apoa4,CLINICAL LABORATORY SERVICES
0580U,Bbrgdrferi antb detc 24rprtn,CLINICAL LABORATORY SERVICES
0581U,Trnspl med antb nohla 39trgt,CLINICAL LABORATORY SERVICES
0582U,Rare ds rpd whlgen dna vrnts,CLINICAL LABORATORY SERVICES
0583U,Rare ds rpd whlgen cmptr dna,CLINICAL LABORATORY SERVICES
0584U,Neuro csf prion prtn qual,CLINICAL LABORATORY SERVICES
0585U,Tgsap so neo cfdna 521 genes,CLINICAL LABORATORY SERVICES
0586U,Onc mrna gen xprsn 216 genes,CLINICAL LABORATORY SERVICES
0587U,Ther rx mntr 60150rx&metabl,CLINICAL LABORATORY SERVICES
0588U,Nfct ds bct/vir 32genes mrna,CLINICAL LABORATORY SERVICES
0589U,Pfas24cmpnd hiperf lc-ms/ms,CLINICAL LABORATORY SERVICES
0590U,Nfct ds bct&fngl dna 44 orgs,CLINICAL LABORATORY SERVICES
0591U,Onc prst8 ca 3prtns plsm srm,CLINICAL LABORATORY SERVICES
0592U,Onc hl neo dna tgs 417 genes,CLINICAL LABORATORY SERVICES
0593U,Nfct ds gu pthgn dna 46trgt,CLINICAL LABORATORY SERVICES
0594U,Nfct ds sepsis pncrtc spc,CLINICAL LABORATORY SERVICES
0595U,Nfct ds tfp vctrbrn&zoonotic,CLINICAL LABORATORY SERVICES
0596U,Neuro alzds plsm 3dstnct isp,CLINICAL LABORATORY SERVICES
0597U,Onc breast rna xprsn 329gens,CLINICAL LABORATORY SERVICES
0598U,Gi ibs igg antb 18food items,CLINICAL LABORATORY SERVICES
0599U,Onc pncrtc ca mult ia serum,CLINICAL LABORATORY SERVICES
0600U,Nfct ds wnd infctj 65orgs&30,CLINICAL LABORATORY SERVICES
0601U,Nfct ds pji alys 11 bmrks ia,CLINICAL LABORATORY SERVICES
0602U,Endocrin dm ins gen mthyltn,CLINICAL LABORATORY SERVICES
0603U,Rx asy prsmv 77rx/metablt ur,CLINICAL LABORATORY SERVICES
0604U,All&immunology crae 4bk pep,CLINICAL LABORATORY SERVICES
0605U,All&immunology hat tpsab1,CLINICAL LABORATORY SERVICES
0606U,Hem red cll memb do rbc oge,CLINICAL LABORATORY SERVICES
0607U,Reprdtve med ema rtpcr 31bct,CLINICAL LABORATORY SERVICES
0608U,Reprdtve med ema rtpcr 10bct,CLINICAL LABORATORY SERVICES
0609U,Onc prostate ia tot&free psa,CLINICAL LABORATORY SERVICES
0610U,Nfct ds antmcr sc phenotypic,CLINICAL LABORATORY SERVICES
0611U,Onc lvr alys >1000 mr cfdna,CLINICAL LABORATORY SERVICES
0612U,Onc lvr alys >1000 mr cfdna,CLINICAL LABORATORY SERVICES
0613U,Onc uc dna mthyltn&mut 6bmrk,CLINICAL LABORATORY SERVICES
36415,Routine venipuncture,CLINICAL LABORATORY SERVICES
78110,Plasma volume single,CLINICAL LABORATORY SERVICES
78111,Plasma volume multiple,CLINICAL LABORATORY SERVICES
78120,Red cell mass single,CLINICAL LABORATORY SERVICES
78121,Red cell mass multiple,CLINICAL LABORATORY SERVICES
78122,Blood volume,CLINICAL LABORATORY SERVICES
78130,Red cell survival study,CLINICAL LABORATORY SERVICES
78191,Platelet survival,CLINICAL LABORATORY SERVICES
78267,Breath tst attain/anal c-14,CLINICAL LABORATORY SERVICES
78268,Breath test analysis c-14,CLINICAL LABORATORY SERVICES
78725,Kidney function study,CLINICAL LABORATORY SERVICES
G0027,Semen analysis,CLINICAL LABORATORY SERVICES
G0103,Psa screening,CLINICAL LABORATORY SERVICES
G0123,Screen cerv/vag thin layer,CLINICAL LABORATORY SERVICES
G0124,Screen c/v thin layer by MD,CLINICAL LABORATORY SERVICES
G0141,"""Scr c/v cyto,autosys and md""",CLINICAL LABORATORY SERVICES
G0143,"""Scr c/v cyto,thinlayer,rescr""",CLINICAL LABORATORY SERVICES
G0144,"""Scr c/v cyto,thinlayer,rescr""",CLINICAL LABORATORY SERVICES
G0145,"""Scr c/v cyto,thinlayer,rescr""",CLINICAL LABORATORY SERVICES
G0147,"""Scr c/v cyto, automated sys""",CLINICAL LABORATORY SERVICES
G0148,"""Scr c/v cyto, autosys, rescr""",CLINICAL LABORATORY SERVICES
G0306,CBC/diffwbc w/o platelet,CLINICAL LABORATORY SERVICES
G0307,Cbc without platelet,CLINICAL LABORATORY SERVICES
G0327,Colon ca scrn;bld-bsd bimrk,CLINICAL LABORATORY SERVICES
G0328,Fecal blood scrn immunoassay,CLINICAL LABORATORY SERVICES
G0416,"""Prostate biopsy, any mthd""",CLINICAL LABORATORY SERVICES
G0432,Eia hiv-1/hiv-2 screen,CLINICAL LABORATORY SERVICES
G0433,Elisa hiv-1/hiv-2 screen,CLINICAL LABORATORY SERVICES
G0435,Oral hiv-1/hiv-2 screen,CLINICAL LABORATORY SERVICES
G0471,Ven blood coll snf/hha,CLINICAL LABORATORY SERVICES
G0472,Hep c screen high risk/other,CLINICAL LABORATORY SERVICES
G0475,Hiv combination assay,CLINICAL LABORATORY SERVICES
G0476,Hpv combo assay ca screen,CLINICAL LABORATORY SERVICES
G0480,Drug test def 1-7 classes,CLINICAL LABORATORY SERVICES
G0481,Drug test def 8-14 classes,CLINICAL LABORATORY SERVICES
G0482,Drug test def 15-21 classes,CLINICAL LABORATORY SERVICES
G0483,Drug test def 22+ classes,CLINICAL LABORATORY SERVICES
G0499,HepB screen high risk indiv,CLINICAL LABORATORY SERVICES
G0567,Screening hep c detect,CLINICAL LABORATORY SERVICES
G0659,Drug test def simple all cl,CLINICAL LABORATORY SERVICES
G9143,Warfarin respon genetic test,CLINICAL LABORATORY SERVICES
P2028,Cephalin floculation test,CLINICAL LABORATORY SERVICES
P2029,Congo red blood test,CLINICAL LABORATORY SERVICES
P2031,Hair analysis,CLINICAL LABORATORY SERVICES
P2033,Blood thymol turbidity,CLINICAL LABORATORY SERVICES
P2038,Blood mucoprotein,CLINICAL LABORATORY SERVICES
P3000,Screen pap by tech w md supv,CLINICAL LABORATORY SERVICES
P3001,Screening pap smear by phys,CLINICAL LABORATORY SERVICES
P9612,Catheterize for urine spec,CLINICAL LABORATORY SERVICES
P9615,Urine specimen collect mult,CLINICAL LABORATORY SERVICES
Q0111,Wet mounts/ w preparations,CLINICAL LABORATORY SERVICES
Q0112,Potassium hydroxide preps,CLINICAL LABORATORY SERVICES
Q0113,Pinworm examinations,CLINICAL LABORATORY SERVICES
Q0114,Fern test,CLINICAL LABORATORY SERVICES
Q0115,Post-coital mucous exam,CLINICAL LABORATORY SERVICES
U0001,2019-ncov diagnostic p,CLINICAL LABORATORY SERVICES
U0002,Covid-19 lab test non-cdc,CLINICAL LABORATORY SERVICES
90901,Biofeedback train any meth,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
90912,Bfb training 1st 15 min,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
90913,Bfb training ea addl 15 min,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
92507,Speech/hearing therapy,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
92508,Speech/hearing therapy,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
92520,Laryngeal function studies,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
92521,Evaluation of speech fluency,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
92522,Evaluate speech production,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
92523,Speech sound lang comprehen,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
92524,Behavral qualit analys voice,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
92526,Oral function therapy,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
92597,Oral speech device eval,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
92607,Ex for speech device rx 1hr,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
92608,Ex for speech device rx addl,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
92609,Use of speech device service,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
92610,Evaluate swallowing function,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
92611,Motion fluoroscopy/swallow,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
92612,Endoscopy swallow tst (fees),"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
92614,Laryngoscopic sensory test,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
92616,Fees w/laryngeal sense test,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
93797,Cardiac rehab,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
93798,Cardiac rehab/monitor,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
95851,Range of motion measurements,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
95852,Range of motion measurements,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
95992,Canalith repositioning proc,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
96000,Motion analysis video/3d,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
96001,Motion test w/ft press meas,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
96002,Dynamic surface emg,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
96105,Assessment of aphasia,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
96125,Cognitive test by HC pro,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97010,Hot or cold packs therapy,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97012,Mechanical traction therapy,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97016,Vasopneumatic device therapy,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97018,Paraffin bath therapy,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97022,Whirlpool therapy,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97024,Diathermy eg microwave,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97026,Infrared therapy,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97028,Ultraviolet therapy,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97032,Electrical stimulation,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97033,Electric current therapy,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97034,Contrast bath therapy,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97035,Ultrasound therapy,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
